name,url,season,stats
Arsenal,https://www.premierleague.com/en/clubs/3/arsenal/stats,2022/2023,"[{'Games Played': '38', 'Goals': '88', 'Goals Conceded': '43', 'Shots': '408', 'Shots On Target': '204', 'Penalties Taken (Scored)': '4 (3)', 'Free Kicks Scored': '16', 'Hit Woodwork': '15', 'Crosses (Completed %)': '452 (19%)', 'Interceptions': '237', 'Blocks': '86', 'Clearances': '567', 'Passes': '20,448', 'Long Passes (Completed %)': '1,721 (49%)', 'Corners Taken': '223', 'Dribbles (Completed %)': '672 (57%)', 'Duels Won': '1,878', 'Aerial Duels Won': '494', 'Red Cards': '0', 'Yellow Cards': '52', 'Fouls': '373', 'Offsides': '56', 'Own Goals': '4'}]"
Aston Villa,https://www.premierleague.com/en/clubs/7/aston-villa/stats,2022/2023,"[{'Games Played': '38', 'Goals': '51', 'Goals Conceded': '46', 'Shots': '302', 'Shots On Target': '151', 'Penalties Taken (Scored)': '4 (3)', 'Free Kicks Scored (Scored)': '18 (2)', 'Hit Woodwork': '21', 'Crosses (Completed %)': '401 (25%)', 'Interceptions': '324', 'Blocks': '118', 'Clearances': '663', 'Penalties Saved (%)': '1 (17%)', 'Passes': '15,940', 'Long Passes (Completed %)': '1,942 (45%)', 'Corners Taken': '165', 'Dribbles (Completed %)': '598 (53%)', 'Duels Won': '1,887', 'Aerial Duels Won': '446', 'Red Cards': '1', 'Yellow Cards': '80', 'Fouls': '417', 'Offsides': '58', 'Own Goals': '2'}]"
Bournemouth,https://www.premierleague.com/en/clubs/91/bournemouth/stats,2022/2023,"[{'Games Played': '38', 'Goals': '37', 'Goals Conceded': '71', 'Shots': '266', 'Shots On Target': '133', 'Free Kicks Scored': '14', 'Hit Woodwork': '5', 'Crosses (Completed %)': '347 (25%)', 'Interceptions': '353', 'Blocks': '170', 'Clearances': '973', 'Passes': '13,939', 'Long Passes (Completed %)': '1,934 (42%)', 'Corners Taken': '144', 'Dribbles (Completed %)': '686 (50%)', 'Duels Won': '1,846', 'Aerial Duels Won': '523', 'Red Cards': '0', 'Yellow Cards': '69', 'Fouls': '391', 'Offsides': '38'}]"
Brentford,https://www.premierleague.com/en/clubs/94/brentford/stats,2022/2023,"[{'Games Played': '38', 'Goals': '58', 'Goals Conceded': '46', 'Shots': '324', 'Shots On Target': '162', 'Penalties Taken (Scored)': '8 (7)', 'Free Kicks Scored (Scored)': '14 (2)', 'Hit Woodwork': '10', 'Crosses (Completed %)': '488 (22%)', 'Interceptions': '341', 'Blocks': '168', 'Clearances': '770', 'Passes': '13,920', 'Long Passes (Completed %)': '2,312 (44%)', 'Corners Taken': '163', 'Dribbles (Completed %)': '515 (52%)', 'Duels Won': '1,917', 'Aerial Duels Won': '667', 'Red Cards': '1', 'Yellow Cards': '55', 'Fouls': '354', 'Offsides': '72', 'Own Goals': '2'}]"
Brighton and Hove Albion,https://www.premierleague.com/en/clubs/36/brighton-and-hove-albion/stats,2022/2023,"[{'Games Played': '38', 'Goals': '72', 'Goals Conceded': '53', 'Shots': '464', 'Shots On Target': '232', 'Penalties Taken (Scored)': '6 (6)', 'Free Kicks Scored (Scored)': '12 (1)', 'Hit Woodwork': '16', 'Crosses (Completed %)': '469 (23%)', 'Interceptions': '303', 'Blocks': '104', 'Clearances': '412', 'Penalties Saved (%)': '2 (25%)', 'Passes': '21,280', 'Long Passes (Completed %)': '1,710 (53%)', 'Corners Taken': '233', 'Dribbles (Completed %)': '644 (57%)', 'Duels Won': '1,832', 'Aerial Duels Won': '446', 'Red Cards': '0', 'Yellow Cards': '59', 'Fouls': '427', 'Offsides': '70', 'Own Goals': '4'}]"
Chelsea,https://www.premierleague.com/en/clubs/8/chelsea/stats,2022/2023,"[{'Games Played': '38', 'Goals': '38', 'Goals Conceded': '47', 'Shots': '318', 'Shots On Target': '159', 'Penalties Taken (Scored)': '3 (3)', 'Free Kicks Scored (Scored)': '10 (1)', 'Hit Woodwork': '15', 'Crosses (Completed %)': '465 (21%)', 'Interceptions': '341', 'Blocks': '108', 'Clearances': '628', 'Passes': '21,149', 'Long Passes (Completed %)': '1,744 (52%)', 'Corners Taken': '209', 'Dribbles (Completed %)': '749 (53%)', 'Duels Won': '2,089', 'Aerial Duels Won': '496', 'Red Cards': '3', 'Yellow Cards': '77', 'Fouls': '397', 'Offsides': '74', 'Own Goals': '1'}]"
Crystal Palace,https://www.premierleague.com/en/clubs/31/crystal-palace/stats,2022/2023,"[{'Games Played': '38', 'Goals': '40', 'Goals Conceded': '49', 'Shots': '272', 'Shots On Target': '136', 'Penalties Taken (Scored)': '3 (1)', 'Free Kicks Scored (Scored)': '23 (1)', 'Hit Woodwork': '11', 'Crosses (Completed %)': '368 (19%)', 'Interceptions': '359', 'Blocks': '119', 'Clearances': '788', 'Passes': '15,707', 'Long Passes (Completed %)': '2,145 (41%)', 'Corners Taken': '186', 'Dribbles (Completed %)': '696 (55%)', 'Duels Won': '2,051', 'Aerial Duels Won': '498', 'Red Cards': '3', 'Yellow Cards': '79', 'Fouls': '446', 'Offsides': '58', 'Own Goals': '2'}]"
Everton,https://www.premierleague.com/en/clubs/11/everton/stats,2022/2023,"[{'Games Played': '38', 'Goals': '34', 'Goals Conceded': '57', 'Shots': '304', 'Shots On Target': '152', 'Penalties Taken (Scored)': '3 (3)', 'Free Kicks Scored': '12', 'Hit Woodwork': '6', 'Crosses (Completed %)': '469 (18%)', 'Interceptions': '390', 'Blocks': '180', 'Clearances': '829', 'Penalties Saved (%)': '1 (17%)', 'Passes': '14,152', 'Long Passes (Completed %)': '2,280 (40%)', 'Corners Taken': '175', 'Dribbles (Completed %)': '620 (53%)', 'Duels Won': '1,996', 'Aerial Duels Won': '583', 'Red Cards': '2', 'Yellow Cards': '79', 'Fouls': '396', 'Offsides': '64', 'Own Goals': '2'}]"
Fulham,https://www.premierleague.com/en/clubs/54/fulham/stats,2022/2023,"[{'Games Played': '38', 'Goals': '55', 'Goals Conceded': '53', 'Shots': '298', 'Shots On Target': '149', 'Penalties Taken (Scored)': '9 (5)', 'Free Kicks Scored (Scored)': '17 (1)', 'Hit Woodwork': '15', 'Crosses (Completed %)': '582 (21%)', 'Interceptions': '340', 'Blocks': '125', 'Clearances': '714', 'Penalties Saved (%)': '1 (13%)', 'Passes': '16,196', 'Long Passes (Completed %)': '1,987 (48%)', 'Corners Taken': '185', 'Dribbles (Completed %)': '554 (57%)', 'Duels Won': '1,859', 'Aerial Duels Won': '514', 'Red Cards': '1', 'Yellow Cards': '80', 'Fouls': '411', 'Offsides': '60', 'Own Goals': '3'}]"
Leeds United,https://www.premierleague.com/en/clubs/2/leeds-united/stats,2022/2023,"[{'Games Played': '38', 'Goals': '48', 'Goals Conceded': '78', 'Shots': '290', 'Shots On Target': '145', 'Penalties Taken (Scored)': '3 (1)', 'Free Kicks Scored': '19', 'Hit Woodwork': '6', 'Crosses (Completed %)': '427 (20%)', 'Interceptions': '392', 'Blocks': '131', 'Clearances': '709', 'Passes': '15,161', 'Long Passes (Completed %)': '1,946 (35%)', 'Corners Taken': '201', 'Dribbles (Completed %)': '601 (46%)', 'Duels Won': '2,102', 'Aerial Duels Won': '588', 'Red Cards': '3', 'Yellow Cards': '84', 'Fouls': '467', 'Offsides': '60', 'Own Goals': '3'}]"
