name,url,season,stats
Arsenal,https://www.premierleague.com/en/clubs/3/arsenal/stats,2021/2022,"[{'Games Played': '38', 'Goals': '61', 'Goals Conceded': '48', 'Shots': '396', 'Shots On Target': '198', 'Penalties Taken (Scored)': '8 (5)', 'Free Kicks Scored (Scored)': '21 (1)', 'Hit Woodwork': '18', 'Crosses (Completed %)': '425 (23%)', 'Interceptions': '296', 'Blocks': '123', 'Clearances': '636', 'Passes': '18,290', 'Long Passes (Completed %)': '1,865 (42%)', 'Corners Taken': '209', 'Dribbles (Completed %)': '590 (54%)', 'Duels Won': '1,679', 'Aerial Duels Won': '471', 'Red Cards': '4', 'Yellow Cards': '60', 'Fouls': '365', 'Offsides': '66', 'Own Goals': '1'}]"
Aston Villa,https://www.premierleague.com/en/clubs/7/aston-villa/stats,2021/2022,"[{'Games Played': '38', 'Goals': '52', 'Goals Conceded': '54', 'Shots': '324', 'Shots On Target': '162', 'Penalties Taken (Scored)': '3 (3)', 'Free Kicks Scored': '20', 'Hit Woodwork': '6', 'Crosses (Completed %)': '447 (19%)', 'Interceptions': '339', 'Blocks': '140', 'Clearances': '630', 'Penalties Saved (%)': '1 (17%)', 'Passes': '14,885', 'Long Passes (Completed %)': '1,877 (42%)', 'Corners Taken': '196', 'Dribbles (Completed %)': '587 (57%)', 'Duels Won': '2,006', 'Aerial Duels Won': '545', 'Red Cards': '2', 'Yellow Cards': '79', 'Fouls': '401', 'Offsides': '52', 'Own Goals': '2'}]"
Brentford,https://www.premierleague.com/en/clubs/94/brentford/stats,2021/2022,"[{'Games Played': '38', 'Goals': '48', 'Goals Conceded': '56', 'Shots': '310', 'Shots On Target': '155', 'Penalties Taken (Scored)': '6 (6)', 'Free Kicks Scored': '11', 'Hit Woodwork': '12', 'Crosses (Completed %)': '455 (21%)', 'Interceptions': '393', 'Blocks': '113', 'Clearances': '809', 'Passes': '14,604', 'Long Passes (Completed %)': '2,335 (40%)', 'Corners Taken': '159', 'Dribbles (Completed %)': '476 (55%)', 'Duels Won': '1,949', 'Aerial Duels Won': '722', 'Red Cards': '3', 'Yellow Cards': '61', 'Fouls': '371', 'Offsides': '66', 'Own Goals': '2'}]"
Brighton and Hove Albion,https://www.premierleague.com/en/clubs/36/brighton-and-hove-albion/stats,2021/2022,"[{'Games Played': '38', 'Goals': '42', 'Goals Conceded': '44', 'Shots': '304', 'Shots On Target': '152', 'Penalties Taken (Scored)': '7 (4)', 'Free Kicks Scored': '15', 'Hit Woodwork': '11', 'Crosses (Completed %)': '493 (20%)', 'Interceptions': '358', 'Blocks': '150', 'Clearances': '684', 'Passes': '18,835', 'Long Passes (Completed %)': '2,182 (44%)', 'Corners Taken': '202', 'Dribbles (Completed %)': '559 (57%)', 'Duels Won': '1,910', 'Aerial Duels Won': '572', 'Red Cards': '2', 'Yellow Cards': '73', 'Fouls': '393', 'Offsides': '53', 'Own Goals': '2'}]"
Burnley,https://www.premierleague.com/en/clubs/90/burnley/stats,2021/2022,"[{'Games Played': '38', 'Goals': '34', 'Goals Conceded': '53', 'Shots': '250', 'Shots On Target': '125', 'Penalties Taken (Scored)': '2 (1)', 'Free Kicks Scored (Scored)': '14 (1)', 'Hit Woodwork': '15', 'Crosses (Completed %)': '523 (19%)', 'Interceptions': '410', 'Blocks': '211', 'Clearances': '832', 'Passes': '12,322', 'Long Passes (Completed %)': '2,619 (41%)', 'Corners Taken': '184', 'Dribbles (Completed %)': '479 (54%)', 'Duels Won': '2,005', 'Aerial Duels Won': '833', 'Red Cards': '2', 'Yellow Cards': '68', 'Fouls': '394', 'Offsides': '101', 'Own Goals': '2'}]"
Chelsea,https://www.premierleague.com/en/clubs/8/chelsea/stats,2021/2022,"[{'Games Played': '38', 'Goals': '76', 'Goals Conceded': '33', 'Shots': '422', 'Shots On Target': '211', 'Penalties Taken (Scored)': '9 (8)', 'Free Kicks Scored (Scored)': '26 (1)', 'Hit Woodwork': '17', 'Crosses (Completed %)': '488 (18%)', 'Interceptions': '347', 'Blocks': '96', 'Clearances': '617', 'Passes': '23,178', 'Long Passes (Completed %)': '1,795 (54%)', 'Corners Taken': '242', 'Dribbles (Completed %)': '624 (58%)', 'Duels Won': '1,915', 'Aerial Duels Won': '543', 'Red Cards': '1', 'Yellow Cards': '63', 'Fouls': '409', 'Offsides': '69', 'Own Goals': '1'}]"
Crystal Palace,https://www.premierleague.com/en/clubs/31/crystal-palace/stats,2021/2022,"[{'Games Played': '38', 'Goals': '50', 'Goals Conceded': '46', 'Shots': '294', 'Shots On Target': '147', 'Penalties Taken (Scored)': '8 (6)', 'Free Kicks Scored (Scored)': '13 (1)', 'Hit Woodwork': '11', 'Crosses (Completed %)': '426 (20%)', 'Interceptions': '333', 'Blocks': '135', 'Clearances': '731', 'Penalties Saved (%)': '1 (25%)', 'Passes': '17,309', 'Long Passes (Completed %)': '2,292 (44%)', 'Corners Taken': '176', 'Dribbles (Completed %)': '687 (56%)', 'Duels Won': '2,110', 'Aerial Duels Won': '613', 'Red Cards': '1', 'Yellow Cards': '67', 'Fouls': '414', 'Offsides': '63'}]"
Everton,https://www.premierleague.com/en/clubs/11/everton/stats,2021/2022,"[{'Games Played': '38', 'Goals': '43', 'Goals Conceded': '66', 'Shots': '276', 'Shots On Target': '138', 'Penalties Taken (Scored)': '7 (6)', 'Free Kicks Scored': '18', 'Hit Woodwork': '7', 'Crosses (Completed %)': '443 (23%)', 'Interceptions': '365', 'Blocks': '140', 'Clearances': '775', 'Passes': '12,944', 'Long Passes (Completed %)': '2,203 (39%)', 'Corners Taken': '161', 'Dribbles (Completed %)': '634 (53%)', 'Duels Won': '2,064', 'Aerial Duels Won': '640', 'Red Cards': '6', 'Yellow Cards': '78', 'Fouls': '368', 'Offsides': '53', 'Own Goals': '1'}]"
Leeds United,https://www.premierleague.com/en/clubs/2/leeds-united/stats,2021/2022,"[{'Games Played': '38', 'Goals': '42', 'Goals Conceded': '79', 'Shots': '308', 'Shots On Target': '154', 'Penalties Taken (Scored)': '5 (5)', 'Free Kicks Scored (Scored)': '13 (1)', 'Hit Woodwork': '17', 'Crosses (Completed %)': '458 (16%)', 'Interceptions': '395', 'Blocks': '143', 'Clearances': '603', 'Passes': '16,503', 'Long Passes (Completed %)': '2,120 (41%)', 'Corners Taken': '171', 'Dribbles (Completed %)': '655 (52%)', 'Duels Won': '1,961', 'Aerial Duels Won': '477', 'Red Cards': '3', 'Yellow Cards': '101', 'Fouls': '469', 'Offsides': '63'}]"
Leicester City,https://www.premierleague.com/en/clubs/13/leicester-city/stats,2021/2022,"[{'Games Played': '38', 'Goals': '62', 'Goals Conceded': '59', 'Shots': '338', 'Shots On Target': '169', 'Penalties Taken (Scored)': '2 (2)', 'Free Kicks Scored (Scored)': '14 (1)', 'Hit Woodwork': '9', 'Crosses (Completed %)': '359 (18%)', 'Interceptions': '367', 'Blocks': '146', 'Clearances': '727', 'Penalties Saved (%)': '2 (22%)', 'Passes': '18,578', 'Long Passes (Completed %)': '1,985 (44%)', 'Corners Taken': '185', 'Dribbles (Completed %)': '547 (54%)', 'Duels Won': '1,913', 'Aerial Duels Won': '532', 'Red Cards': '1', 'Yellow Cards': '55', 'Fouls': '356', 'Offsides': '60'}]"
