name,url,season,stats
Arsenal,https://www.premierleague.com/en/clubs/3/arsenal/stats,2016/2017,"[{'Games Played': '38', 'Goals': '77', 'Goals Conceded': '44', 'Shots': '402', 'Shots On Target': '201', 'Penalties Taken (Scored)': '6 (4)', 'Free Kicks Scored (Scored)': '16 (2)', 'Hit Woodwork': '16', 'Crosses (Completed %)': '479 (19%)', 'Interceptions': '535', 'Blocks': '95', 'Clearances': '839', 'Passes': '21,392', 'Long Passes (Completed %)': '1,978 (49%)', 'Corners Taken': '227', 'Dribbles (Completed %)': '684 (67%)', 'Duels Won': '2,131', 'Aerial Duels Won': '631', 'Red Cards': '3', 'Yellow Cards': '68', 'Fouls': '398', 'Offsides': '95', 'Own Goals': '4'}]"
Bournemouth,https://www.premierleague.com/en/clubs/91/bournemouth/stats,2016/2017,"[{'Games Played': '38', 'Goals': '55', 'Goals Conceded': '67', 'Shots': '320', 'Shots On Target': '160', 'Penalties Taken (Scored)': '10 (7)', 'Free Kicks Scored': '25', 'Hit Woodwork': '19', 'Crosses (Completed %)': '467 (17%)', 'Interceptions': '462', 'Blocks': '150', 'Clearances': '1,091', 'Penalties Saved (%)': '2 (40%)', 'Passes': '17,145', 'Long Passes (Completed %)': '2,459 (48%)', 'Corners Taken': '193', 'Dribbles (Completed %)': '693 (61%)', 'Duels Won': '2,036', 'Aerial Duels Won': '550', 'Red Cards': '3', 'Yellow Cards': '52', 'Fouls': '368', 'Offsides': '53', 'Own Goals': '2'}]"
Burnley,https://www.premierleague.com/en/clubs/90/burnley/stats,2016/2017,"[{'Games Played': '38', 'Goals': '39', 'Goals Conceded': '55', 'Shots': '240', 'Shots On Target': '120', 'Penalties Taken (Scored)': '6 (6)', 'Free Kicks Scored (Scored)': '25 (2)', 'Hit Woodwork': '5', 'Crosses (Completed %)': '469 (21%)', 'Interceptions': '537', 'Blocks': '221', 'Clearances': '1,237', 'Penalties Saved (%)': '1 (20%)', 'Passes': '12,559', 'Long Passes (Completed %)': '3,178 (41%)', 'Corners Taken': '149', 'Dribbles (Completed %)': '304 (59%)', 'Duels Won': '2,092', 'Aerial Duels Won': '914', 'Red Cards': '2', 'Yellow Cards': '65', 'Fouls': '429', 'Offsides': '101'}]"
Chelsea,https://www.premierleague.com/en/clubs/8/chelsea/stats,2016/2017,"[{'Games Played': '38', 'Goals': '85', 'Goals Conceded': '33', 'Shots': '408', 'Shots On Target': '204', 'Penalties Taken (Scored)': '4 (2)', 'Free Kicks Scored (Scored)': '35 (3)', 'Hit Woodwork': '17', 'Crosses (Completed %)': '485 (16%)', 'Interceptions': '510', 'Blocks': '78', 'Clearances': '839', 'Passes': '20,125', 'Long Passes (Completed %)': '2,399 (55%)', 'Corners Taken': '218', 'Dribbles (Completed %)': '762 (66%)', 'Duels Won': '2,145', 'Aerial Duels Won': '537', 'Red Cards': '0', 'Yellow Cards': '72', 'Fouls': '395', 'Offsides': '64', 'Own Goals': '2'}]"
Crystal Palace,https://www.premierleague.com/en/clubs/31/crystal-palace/stats,2016/2017,"[{'Games Played': '38', 'Goals': '50', 'Goals Conceded': '63', 'Shots': '276', 'Shots On Target': '138', 'Penalties Taken (Scored)': '7 (4)', 'Free Kicks Scored': '22', 'Hit Woodwork': '8', 'Crosses (Completed %)': '609 (23%)', 'Interceptions': '552', 'Blocks': '125', 'Clearances': '1,022', 'Passes': '13,543', 'Long Passes (Completed %)': '2,729 (42%)', 'Corners Taken': '203', 'Dribbles (Completed %)': '657 (60%)', 'Duels Won': '2,370', 'Aerial Duels Won': '836', 'Red Cards': '0', 'Yellow Cards': '77', 'Fouls': '470', 'Offsides': '55', 'Own Goals': '2'}]"
Everton,https://www.premierleague.com/en/clubs/11/everton/stats,2016/2017,"[{'Games Played': '38', 'Goals': '62', 'Goals Conceded': '44', 'Shots': '382', 'Shots On Target': '191', 'Penalties Taken (Scored)': '4 (3)', 'Free Kicks Scored (Scored)': '19 (2)', 'Hit Woodwork': '11', 'Crosses (Completed %)': '573 (18%)', 'Interceptions': '461', 'Blocks': '149', 'Clearances': '1,117', 'Penalties Saved (%)': '2 (40%)', 'Passes': '17,584', 'Long Passes (Completed %)': '2,966 (48%)', 'Corners Taken': '197', 'Dribbles (Completed %)': '645 (62%)', 'Duels Won': '2,178', 'Aerial Duels Won': '666', 'Red Cards': '2', 'Yellow Cards': '72', 'Fouls': '459', 'Offsides': '82', 'Own Goals': '4'}]"
Hull City,https://www.premierleague.com/en/clubs/88/hull-city/stats,2016/2017,"[{'Games Played': '38', 'Goals': '37', 'Goals Conceded': '80', 'Shots': '252', 'Shots On Target': '126', 'Penalties Taken (Scored)': '3 (3)', 'Free Kicks Scored (Scored)': '24 (2)', 'Hit Woodwork': '10', 'Crosses (Completed %)': '527 (17%)', 'Interceptions': '565', 'Blocks': '185', 'Clearances': '1,110', 'Penalties Saved (%)': '2 (15%)', 'Passes': '15,610', 'Long Passes (Completed %)': '2,647 (41%)', 'Corners Taken': '179', 'Dribbles (Completed %)': '420 (63%)', 'Duels Won': '1,849', 'Aerial Duels Won': '593', 'Red Cards': '5', 'Yellow Cards': '67', 'Fouls': '402', 'Offsides': '71', 'Own Goals': '1'}]"
Leicester City,https://www.premierleague.com/en/clubs/13/leicester-city/stats,2016/2017,"[{'Games Played': '38', 'Goals': '48', 'Goals Conceded': '63', 'Shots': '290', 'Shots On Target': '145', 'Penalties Taken (Scored)': '6 (4)', 'Free Kicks Scored (Scored)': '15 (1)', 'Hit Woodwork': '9', 'Crosses (Completed %)': '545 (18%)', 'Interceptions': '531', 'Blocks': '141', 'Clearances': '1,028', 'Passes': '13,674', 'Long Passes (Completed %)': '2,791 (36%)', 'Corners Taken': '197', 'Dribbles (Completed %)': '577 (52%)', 'Duels Won': '2,057', 'Aerial Duels Won': '767', 'Red Cards': '1', 'Yellow Cards': '72', 'Fouls': '451', 'Offsides': '65', 'Own Goals': '2'}]"
Liverpool,https://www.premierleague.com/en/clubs/14/liverpool/stats,2016/2017,"[{'Games Played': '38', 'Goals': '78', 'Goals Conceded': '42', 'Shots': '472', 'Shots On Target': '236', 'Penalties Taken (Scored)': '8 (7)', 'Free Kicks Scored (Scored)': '14 (3)', 'Hit Woodwork': '17', 'Crosses (Completed %)': '563 (19%)', 'Interceptions': '410', 'Blocks': '65', 'Clearances': '883', 'Penalties Saved (%)': '2 (40%)', 'Passes': '22,283', 'Long Passes (Completed %)': '2,565 (48%)', 'Corners Taken': '249', 'Dribbles (Completed %)': '710 (58%)', 'Duels Won': '2,155', 'Aerial Duels Won': '657', 'Red Cards': '0', 'Yellow Cards': '54', 'Fouls': '397', 'Offsides': '77', 'Own Goals': '1'}]"
Manchester City,https://www.premierleague.com/en/clubs/43/manchester-city/stats,2016/2017,"[{'Games Played': '38', 'Goals': '80', 'Goals Conceded': '39', 'Shots': '432', 'Shots On Target': '216', 'Penalties Taken (Scored)': '9 (7)', 'Free Kicks Scored (Scored)': '26 (2)', 'Hit Woodwork': '20', 'Crosses (Completed %)': '542 (18%)', 'Interceptions': '498', 'Blocks': '67', 'Clearances': '904', 'Penalties Saved (%)': '2 (40%)', 'Passes': '22,705', 'Long Passes (Completed %)': '1,997 (50%)', 'Corners Taken': '280', 'Dribbles (Completed %)': '767 (66%)', 'Duels Won': '2,143', 'Aerial Duels Won': '584', 'Red Cards': '4', 'Yellow Cards': '71', 'Fouls': '395', 'Offsides': '89', 'Own Goals': '5'}]"
