name,url,season,stats
Arsenal,https://www.premierleague.com/en/clubs/3/arsenal/stats,2017/2018,"[{'Games Played': '38', 'Goals': '74', 'Goals Conceded': '51', 'Shots': '468', 'Shots On Target': '234', 'Penalties Taken (Scored)': '5 (4)', 'Free Kicks Scored': '30', 'Hit Woodwork': '16', 'Crosses (Completed %)': '352 (17%)', 'Interceptions': '427', 'Blocks': '103', 'Clearances': '828', 'Penalties Saved (%)': '1 (17%)', 'Passes': '23,524', 'Long Passes (Completed %)': '1,994 (52%)', 'Corners Taken': '225', 'Dribbles (Completed %)': '547 (70%)', 'Duels Won': '2,013', 'Aerial Duels Won': '647', 'Red Cards': '2', 'Yellow Cards': '57', 'Fouls': '383', 'Offsides': '89', 'Own Goals': '1'}]"
Bournemouth,https://www.premierleague.com/en/clubs/91/bournemouth/stats,2017/2018,"[{'Games Played': '38', 'Goals': '45', 'Goals Conceded': '61', 'Shots': '316', 'Shots On Target': '158', 'Penalties Taken (Scored)': '3 (3)', 'Free Kicks Scored (Scored)': '15 (1)', 'Hit Woodwork': '10', 'Crosses (Completed %)': '492 (20%)', 'Interceptions': '367', 'Blocks': '160', 'Clearances': '1,037', 'Penalties Saved (%)': '1 (33%)', 'Passes': '16,131', 'Long Passes (Completed %)': '2,299 (43%)', 'Corners Taken': '218', 'Dribbles (Completed %)': '638 (54%)', 'Duels Won': '1,961', 'Aerial Duels Won': '721', 'Red Cards': '1', 'Yellow Cards': '55', 'Fouls': '339', 'Offsides': '52'}]"
Brighton and Hove Albion,https://www.premierleague.com/en/clubs/36/brighton-and-hove-albion/stats,2017/2018,"[{'Games Played': '38', 'Goals': '34', 'Goals Conceded': '54', 'Shots': '238', 'Shots On Target': '119', 'Penalties Taken (Scored)': '7 (5)', 'Free Kicks Scored': '4', 'Hit Woodwork': '8', 'Crosses (Completed %)': '491 (16%)', 'Interceptions': '449', 'Blocks': '190', 'Clearances': '1,085', 'Penalties Saved (%)': '2 (67%)', 'Passes': '14,675', 'Long Passes (Completed %)': '2,774 (46%)', 'Corners Taken': '163', 'Dribbles (Completed %)': '487 (61%)', 'Duels Won': '1,971', 'Aerial Duels Won': '813', 'Red Cards': '2', 'Yellow Cards': '54', 'Fouls': '413', 'Offsides': '98', 'Own Goals': '1'}]"
Burnley,https://www.premierleague.com/en/clubs/90/burnley/stats,2017/2018,"[{'Games Played': '38', 'Goals': '36', 'Goals Conceded': '39', 'Shots': '256', 'Shots On Target': '128', 'Free Kicks Scored (Scored)': '16 (1)', 'Hit Woodwork': '9', 'Crosses (Completed %)': '510 (20%)', 'Interceptions': '400', 'Blocks': '191', 'Clearances': '1,185', 'Penalties Saved (%)': '1 (20%)', 'Passes': '13,571', 'Long Passes (Completed %)': '3,028 (40%)', 'Corners Taken': '168', 'Dribbles (Completed %)': '345 (63%)', 'Duels Won': '2,085', 'Aerial Duels Won': '957', 'Red Cards': '0', 'Yellow Cards': '65', 'Fouls': '350', 'Offsides': '100', 'Own Goals': '1'}]"
Chelsea,https://www.premierleague.com/en/clubs/8/chelsea/stats,2017/2018,"[{'Games Played': '38', 'Goals': '62', 'Goals Conceded': '38', 'Shots': '440', 'Shots On Target': '220', 'Penalties Taken (Scored)': '3 (3)', 'Free Kicks Scored (Scored)': '20 (2)', 'Hit Woodwork': '11', 'Crosses (Completed %)': '585 (18%)', 'Interceptions': '424', 'Blocks': '107', 'Clearances': '768', 'Passes': '21,264', 'Long Passes (Completed %)': '2,142 (53%)', 'Corners Taken': '232', 'Dribbles (Completed %)': '734 (70%)', 'Duels Won': '2,158', 'Aerial Duels Won': '615', 'Red Cards': '4', 'Yellow Cards': '42', 'Fouls': '363', 'Offsides': '108', 'Own Goals': '2'}]"
Crystal Palace,https://www.premierleague.com/en/clubs/31/crystal-palace/stats,2017/2018,"[{'Games Played': '38', 'Goals': '45', 'Goals Conceded': '55', 'Shots': '302', 'Shots On Target': '151', 'Penalties Taken (Scored)': '10 (8)', 'Free Kicks Scored (Scored)': '20 (1)', 'Hit Woodwork': '7', 'Crosses (Completed %)': '452 (17%)', 'Interceptions': '552', 'Blocks': '117', 'Clearances': '1,022', 'Passes': '14,371', 'Long Passes (Completed %)': '2,416 (40%)', 'Corners Taken': '210', 'Dribbles (Completed %)': '718 (67%)', 'Duels Won': '2,321', 'Aerial Duels Won': '768', 'Red Cards': '0', 'Yellow Cards': '72', 'Fouls': '425', 'Offsides': '56', 'Own Goals': '1'}]"
Everton,https://www.premierleague.com/en/clubs/11/everton/stats,2017/2018,"[{'Games Played': '38', 'Goals': '44', 'Goals Conceded': '58', 'Shots': '242', 'Shots On Target': '121', 'Penalties Taken (Scored)': '8 (5)', 'Free Kicks Scored': '8', 'Hit Woodwork': '6', 'Crosses (Completed %)': '419 (22%)', 'Interceptions': '514', 'Blocks': '160', 'Clearances': '1,229', 'Penalties Saved (%)': '1 (20%)', 'Passes': '14,749', 'Long Passes (Completed %)': '2,726 (40%)', 'Corners Taken': '150', 'Dribbles (Completed %)': '461 (57%)', 'Duels Won': '2,032', 'Aerial Duels Won': '774', 'Red Cards': '3', 'Yellow Cards': '51', 'Fouls': '460', 'Offsides': '82', 'Own Goals': '2'}]"
Huddersfield Town,https://www.premierleague.com/en/clubs/38/huddersfield-town/stats,2017/2018,"[{'Games Played': '38', 'Goals': '28', 'Goals Conceded': '58', 'Shots': '220', 'Shots On Target': '110', 'Penalties Taken (Scored)': '2 (2)', 'Free Kicks Scored': '14', 'Hit Woodwork': '9', 'Crosses (Completed %)': '562 (15%)', 'Interceptions': '518', 'Blocks': '118', 'Clearances': '1,070', 'Penalties Saved (%)': '2 (33%)', 'Passes': '14,960', 'Long Passes (Completed %)': '2,563 (42%)', 'Corners Taken': '166', 'Dribbles (Completed %)': '491 (56%)', 'Duels Won': '2,170', 'Aerial Duels Won': '807', 'Red Cards': '3', 'Yellow Cards': '62', 'Fouls': '397', 'Offsides': '67', 'Own Goals': '3'}]"
Leicester City,https://www.premierleague.com/en/clubs/13/leicester-city/stats,2017/2018,"[{'Games Played': '38', 'Goals': '56', 'Goals Conceded': '60', 'Shots': '298', 'Shots On Target': '149', 'Penalties Taken (Scored)': '6 (5)', 'Free Kicks Scored (Scored)': '11 (1)', 'Hit Woodwork': '8', 'Crosses (Completed %)': '530 (16%)', 'Interceptions': '414', 'Blocks': '130', 'Clearances': '920', 'Penalties Saved (%)': '2 (50%)', 'Passes': '15,200', 'Long Passes (Completed %)': '2,667 (44%)', 'Corners Taken': '203', 'Dribbles (Completed %)': '718 (59%)', 'Duels Won': '2,196', 'Aerial Duels Won': '796', 'Red Cards': '5', 'Yellow Cards': '52', 'Fouls': '364', 'Offsides': '92', 'Own Goals': '3'}]"
Liverpool,https://www.premierleague.com/en/clubs/14/liverpool/stats,2017/2018,"[{'Games Played': '38', 'Goals': '84', 'Goals Conceded': '38', 'Shots': '466', 'Shots On Target': '233', 'Penalties Taken (Scored)': '3 (2)', 'Free Kicks Scored (Scored)': '22 (2)', 'Hit Woodwork': '15', 'Crosses (Completed %)': '546 (19%)', 'Interceptions': '379', 'Blocks': '71', 'Clearances': '736', 'Penalties Saved (%)': '2 (33%)', 'Passes': '22,962', 'Long Passes (Completed %)': '2,370 (50%)', 'Corners Taken': '231', 'Dribbles (Completed %)': '652 (67%)', 'Duels Won': '1,967', 'Aerial Duels Won': '598', 'Red Cards': '1', 'Yellow Cards': '44', 'Fouls': '344', 'Offsides': '70', 'Own Goals': '2'}]"
