name,url,season,stats
Arsenal,https://www.premierleague.com/en/clubs/3/arsenal/stats,2020/2021,"[{'Games Played': '38', 'Goals': '55', 'Goals Conceded': '39', 'Shots': '304', 'Shots On Target': '152', 'Penalties Taken (Scored)': '6 (6)', 'Free Kicks Scored (Scored)': '23 (2)', 'Hit Woodwork': '19', 'Crosses (Completed %)': '540 (20%)', 'Interceptions': '351', 'Blocks': '113', 'Clearances': '615', 'Penalties Saved (%)': '1 (33%)', 'Passes': '20,126', 'Long Passes (Completed %)': '1,850 (46%)', 'Corners Taken': '208', 'Dribbles (Completed %)': '535 (55%)', 'Duels Won': '1,656', 'Aerial Duels Won': '515', 'Red Cards': '5', 'Yellow Cards': '47', 'Fouls': '346', 'Offsides': '61', 'Own Goals': '2'}]"
Aston Villa,https://www.premierleague.com/en/clubs/7/aston-villa/stats,2020/2021,"[{'Games Played': '38', 'Goals': '55', 'Goals Conceded': '46', 'Shots': '372', 'Shots On Target': '186', 'Penalties Taken (Scored)': '6 (5)', 'Free Kicks Scored': '16', 'Hit Woodwork': '21', 'Crosses (Completed %)': '519 (19%)', 'Interceptions': '387', 'Blocks': '159', 'Clearances': '736', 'Penalties Saved (%)': '1 (17%)', 'Passes': '15,191', 'Long Passes (Completed %)': '2,350 (46%)', 'Corners Taken': '215', 'Dribbles (Completed %)': '595 (62%)', 'Duels Won': '2,180', 'Aerial Duels Won': '736', 'Red Cards': '4', 'Yellow Cards': '63', 'Fouls': '439', 'Offsides': '71', 'Own Goals': '3'}]"
Brighton and Hove Albion,https://www.premierleague.com/en/clubs/36/brighton-and-hove-albion/stats,2020/2021,"[{'Games Played': '38', 'Goals': '40', 'Goals Conceded': '46', 'Shots': '286', 'Shots On Target': '143', 'Penalties Taken (Scored)': '9 (6)', 'Free Kicks Scored': '15', 'Hit Woodwork': '16', 'Crosses (Completed %)': '454 (22%)', 'Interceptions': '425', 'Blocks': '97', 'Clearances': '560', 'Passes': '18,185', 'Long Passes (Completed %)': '2,264 (47%)', 'Corners Taken': '219', 'Dribbles (Completed %)': '573 (61%)', 'Duels Won': '1,866', 'Aerial Duels Won': '539', 'Red Cards': '6', 'Yellow Cards': '45', 'Fouls': '428', 'Offsides': '52', 'Own Goals': '1'}]"
Burnley,https://www.premierleague.com/en/clubs/90/burnley/stats,2020/2021,"[{'Games Played': '38', 'Goals': '33', 'Goals Conceded': '55', 'Shots': '260', 'Shots On Target': '130', 'Penalties Taken (Scored)': '3 (3)', 'Free Kicks Scored': '15', 'Hit Woodwork': '10', 'Crosses (Completed %)': '550 (17%)', 'Interceptions': '416', 'Blocks': '180', 'Clearances': '772', 'Passes': '13,846', 'Long Passes (Completed %)': '2,914 (40%)', 'Corners Taken': '172', 'Dribbles (Completed %)': '403 (58%)', 'Duels Won': '2,005', 'Aerial Duels Won': '888', 'Red Cards': '0', 'Yellow Cards': '48', 'Fouls': '384', 'Offsides': '80', 'Own Goals': '1'}]"
Chelsea,https://www.premierleague.com/en/clubs/8/chelsea/stats,2020/2021,"[{'Games Played': '38', 'Goals': '58', 'Goals Conceded': '36', 'Shots': '420', 'Shots On Target': '210', 'Penalties Taken (Scored)': '10 (8)', 'Free Kicks Scored': '16', 'Hit Woodwork': '17', 'Crosses (Completed %)': '517 (19%)', 'Interceptions': '382', 'Blocks': '83', 'Clearances': '614', 'Penalties Saved (%)': '1 (25%)', 'Passes': '24,071', 'Long Passes (Completed %)': '1,938 (54%)', 'Corners Taken': '227', 'Dribbles (Completed %)': '657 (55%)', 'Duels Won': '1,904', 'Aerial Duels Won': '576', 'Red Cards': '3', 'Yellow Cards': '49', 'Fouls': '433', 'Offsides': '79', 'Own Goals': '2'}]"
Crystal Palace,https://www.premierleague.com/en/clubs/31/crystal-palace/stats,2020/2021,"[{'Games Played': '38', 'Goals': '41', 'Goals Conceded': '66', 'Shots': '264', 'Shots On Target': '132', 'Penalties Taken (Scored)': '4 (3)', 'Free Kicks Scored (Scored)': '18 (1)', 'Hit Woodwork': '10', 'Crosses (Completed %)': '355 (21%)', 'Interceptions': '397', 'Blocks': '138', 'Clearances': '728', 'Penalties Saved (%)': '1 (25%)', 'Passes': '14,067', 'Long Passes (Completed %)': '2,040 (39%)', 'Corners Taken': '151', 'Dribbles (Completed %)': '642 (57%)', 'Duels Won': '2,126', 'Aerial Duels Won': '696', 'Red Cards': '2', 'Yellow Cards': '54', 'Fouls': '409', 'Offsides': '67', 'Own Goals': '2'}]"
Everton,https://www.premierleague.com/en/clubs/11/everton/stats,2020/2021,"[{'Games Played': '38', 'Goals': '47', 'Goals Conceded': '48', 'Shots': '296', 'Shots On Target': '148', 'Penalties Taken (Scored)': '5 (4)', 'Free Kicks Scored': '15', 'Hit Woodwork': '10', 'Crosses (Completed %)': '454 (19%)', 'Interceptions': '391', 'Blocks': '157', 'Clearances': '803', 'Passes': '17,129', 'Long Passes (Completed %)': '2,208 (49%)', 'Corners Taken': '168', 'Dribbles (Completed %)': '591 (61%)', 'Duels Won': '2,058', 'Aerial Duels Won': '674', 'Red Cards': '2', 'Yellow Cards': '59', 'Fouls': '386', 'Offsides': '65', 'Own Goals': '2'}]"
Fulham,https://www.premierleague.com/en/clubs/54/fulham/stats,2020/2021,"[{'Games Played': '38', 'Goals': '27', 'Goals Conceded': '53', 'Shots': '272', 'Shots On Target': '136', 'Penalties Taken (Scored)': '6 (3)', 'Free Kicks Scored': '12', 'Hit Woodwork': '12', 'Crosses (Completed %)': '518 (22%)', 'Interceptions': '437', 'Blocks': '95', 'Clearances': '751', 'Passes': '17,796', 'Long Passes (Completed %)': '2,085 (45%)', 'Corners Taken': '164', 'Dribbles (Completed %)': '795 (64%)', 'Duels Won': '2,128', 'Aerial Duels Won': '652', 'Red Cards': '3', 'Yellow Cards': '67', 'Fouls': '484', 'Offsides': '43', 'Own Goals': '1'}]"
Leeds United,https://www.premierleague.com/en/clubs/2/leeds-united/stats,2020/2021,"[{'Games Played': '38', 'Goals': '62', 'Goals Conceded': '54', 'Shots': '398', 'Shots On Target': '199', 'Penalties Taken (Scored)': '4 (4)', 'Free Kicks Scored (Scored)': '9 (2)', 'Hit Woodwork': '18', 'Crosses (Completed %)': '535 (17%)', 'Interceptions': '397', 'Blocks': '149', 'Clearances': '611', 'Penalties Saved (%)': '1 (11%)', 'Passes': '18,652', 'Long Passes (Completed %)': '2,131 (49%)', 'Corners Taken': '231', 'Dribbles (Completed %)': '563 (56%)', 'Duels Won': '2,006', 'Aerial Duels Won': '552', 'Red Cards': '1', 'Yellow Cards': '61', 'Fouls': '432', 'Offsides': '76', 'Own Goals': '2'}]"
Leicester City,https://www.premierleague.com/en/clubs/13/leicester-city/stats,2020/2021,"[{'Games Played': '38', 'Goals': '68', 'Goals Conceded': '50', 'Shots': '370', 'Shots On Target': '185', 'Penalties Taken (Scored)': '12 (10)', 'Free Kicks Scored (Scored)': '20 (1)', 'Hit Woodwork': '13', 'Crosses (Completed %)': '434 (18%)', 'Interceptions': '438', 'Blocks': '90', 'Clearances': '629', 'Passes': '19,577', 'Long Passes (Completed %)': '1,984 (46%)', 'Corners Taken': '214', 'Dribbles (Completed %)': '645 (56%)', 'Duels Won': '2,060', 'Aerial Duels Won': '614', 'Red Cards': '0', 'Yellow Cards': '61', 'Fouls': '413', 'Offsides': '71', 'Own Goals': '4'}]"
