position,badge_url,name,games_played,games_won,games_drawn,games_lost,goals_for,goals_against,goal_difference,points
1,https://resources.premierleague.com/premierleague25/badges/13.svg,Leicester City,38,23,12,3,68,36,32,81
2,https://resources.premierleague.com/premierleague25/badges/3.svg,Arsenal,38,20,11,7,65,36,29,71
3,https://resources.premierleague.com/premierleague25/badges/6.svg,Tottenham Hotspur,38,19,13,6,69,35,34,70
4,https://resources.premierleague.com/premierleague25/badges/43.svg,Manchester City,38,19,9,10,71,41,30,66
5,https://resources.premierleague.com/premierleague25/badges/1.svg,Manchester United,38,19,9,10,49,35,14,66
6,https://resources.premierleague.com/premierleague25/badges/20.svg,Southampton,38,18,9,11,59,41,18,63
7,https://resources.premierleague.com/premierleague25/badges/21.svg,West Ham United,38,16,14,8,65,51,14,62
8,https://resources.premierleague.com/premierleague25/badges/14.svg,Liverpool,38,16,12,10,63,50,13,60
9,https://resources.premierleague.com/premierleague25/badges/110.svg,Stoke City,38,14,9,15,41,55,-14,51
10,https://resources.premierleague.com/premierleague25/badges/8.svg,Chelsea,38,12,14,12,59,53,6,50
11,https://resources.premierleague.com/premierleague25/badges/11.svg,Everton,38,11,14,13,59,55,4,47
12,https://resources.premierleague.com/premierleague25/badges/80.svg,Swansea City,38,12,11,15,42,52,-10,47
13,https://resources.premierleague.com/premierleague25/badges/57.svg,Watford,38,12,9,17,40,50,-10,45
14,https://resources.premierleague.com/premierleague25/badges/35.svg,West Bromwich Albion,38,10,13,15,34,48,-14,43
15,https://resources.premierleague.com/premierleague25/badges/31.svg,Crystal Palace,38,11,9,18,39,51,-12,42
16,https://resources.premierleague.com/premierleague25/badges/91.svg,Bournemouth,38,11,9,18,45,67,-22,42
17,https://resources.premierleague.com/premierleague25/badges/56.svg,Sunderland,38,9,12,17,48,62,-14,39
18,https://resources.premierleague.com/premierleague25/badges/4.svg,Newcastle United,38,9,10,19,44,65,-21,37
19,https://resources.premierleague.com/premierleague25/badges/45.svg,Norwich City,38,9,7,22,39,67,-28,34
20,https://resources.premierleague.com/premierleague25/badges/7.svg,Aston Villa,38,3,8,27,27,76,-49,17
