position,badge_url,name,games_played,games_won,games_drawn,games_lost,goals_for,goals_against,goal_difference,points
1,https://resources.premierleague.com/premierleague25/badges/1.svg,Manchester United,38,28,5,5,86,43,43,89
2,https://resources.premierleague.com/premierleague25/badges/43.svg,Manchester City,38,23,9,6,66,34,32,78
3,https://resources.premierleague.com/premierleague25/badges/8.svg,Chelsea,38,22,9,7,75,39,36,75
4,https://resources.premierleague.com/premierleague25/badges/3.svg,Arsenal,38,21,10,7,72,37,35,73
5,https://resources.premierleague.com/premierleague25/badges/6.svg,Tottenham Hotspur,38,21,9,8,66,46,20,72
6,https://resources.premierleague.com/premierleague25/badges/11.svg,Everton,38,16,15,7,55,40,15,63
7,https://resources.premierleague.com/premierleague25/badges/14.svg,Liverpool,38,16,13,9,71,43,28,61
8,https://resources.premierleague.com/premierleague25/badges/35.svg,West Bromwich Albion,38,14,7,17,53,57,-4,49
9,https://resources.premierleague.com/premierleague25/badges/80.svg,Swansea City,38,11,13,14,47,51,-4,46
10,https://resources.premierleague.com/premierleague25/badges/21.svg,West Ham United,38,12,10,16,45,53,-8,46
11,https://resources.premierleague.com/premierleague25/badges/45.svg,Norwich City,38,10,14,14,41,58,-17,44
12,https://resources.premierleague.com/premierleague25/badges/54.svg,Fulham,38,11,10,17,50,60,-10,43
13,https://resources.premierleague.com/premierleague25/badges/110.svg,Stoke City,38,9,15,14,34,45,-11,42
14,https://resources.premierleague.com/premierleague25/badges/20.svg,Southampton,38,9,14,15,49,60,-11,41
15,https://resources.premierleague.com/premierleague25/badges/7.svg,Aston Villa,38,10,11,17,47,69,-22,41
16,https://resources.premierleague.com/premierleague25/badges/4.svg,Newcastle United,38,11,8,19,45,68,-23,41
17,https://resources.premierleague.com/premierleague25/badges/56.svg,Sunderland,38,9,12,17,41,54,-13,39
18,https://resources.premierleague.com/premierleague25/badges/111.svg,Wigan Athletic,38,9,9,20,47,73,-26,36
19,https://resources.premierleague.com/premierleague25/badges/108.svg,Reading,38,6,10,22,43,73,-30,28
20,https://resources.premierleague.com/premierleague25/badges/52.svg,Queens Park Rangers,38,4,13,21,30,60,-30,25
