position,badge_url,name,games_played,games_won,games_drawn,games_lost,goals_for,goals_against,goal_difference,points
1,https://resources.premierleague.com/premierleague25/badges/8.svg,Chelsea,38,26,9,3,73,32,41,87
2,https://resources.premierleague.com/premierleague25/badges/43.svg,Manchester City,38,24,7,7,83,38,45,79
3,https://resources.premierleague.com/premierleague25/badges/3.svg,Arsenal,38,22,9,7,71,36,35,75
4,https://resources.premierleague.com/premierleague25/badges/1.svg,Manchester United,38,20,10,8,62,37,25,70
5,https://resources.premierleague.com/premierleague25/badges/6.svg,Tottenham Hotspur,38,19,7,12,58,53,5,64
6,https://resources.premierleague.com/premierleague25/badges/14.svg,Liverpool,38,18,8,12,52,48,4,62
7,https://resources.premierleague.com/premierleague25/badges/20.svg,Southampton,38,18,6,14,54,33,21,60
8,https://resources.premierleague.com/premierleague25/badges/80.svg,Swansea City,38,16,8,14,46,49,-3,56
9,https://resources.premierleague.com/premierleague25/badges/110.svg,Stoke City,38,15,9,14,48,45,3,54
10,https://resources.premierleague.com/premierleague25/badges/31.svg,Crystal Palace,38,13,9,16,47,51,-4,48
11,https://resources.premierleague.com/premierleague25/badges/11.svg,Everton,38,12,11,15,48,50,-2,47
12,https://resources.premierleague.com/premierleague25/badges/21.svg,West Ham United,38,12,11,15,44,47,-3,47
13,https://resources.premierleague.com/premierleague25/badges/35.svg,West Bromwich Albion,38,11,11,16,38,51,-13,44
14,https://resources.premierleague.com/premierleague25/badges/13.svg,Leicester City,38,11,8,19,46,55,-9,41
15,https://resources.premierleague.com/premierleague25/badges/4.svg,Newcastle United,38,10,9,19,40,63,-23,39
16,https://resources.premierleague.com/premierleague25/badges/56.svg,Sunderland,38,7,17,14,31,53,-22,38
17,https://resources.premierleague.com/premierleague25/badges/7.svg,Aston Villa,38,10,8,20,31,57,-26,38
18,https://resources.premierleague.com/premierleague25/badges/88.svg,Hull City,38,8,11,19,33,51,-18,35
19,https://resources.premierleague.com/premierleague25/badges/90.svg,Burnley,38,7,12,19,28,53,-25,33
20,https://resources.premierleague.com/premierleague25/badges/52.svg,Queens Park Rangers,38,8,6,24,42,73,-31,30
