position,badge_url,name,games_played,games_won,games_drawn,games_lost,goals_for,goals_against,goal_difference,points
1,https://resources.premierleague.com/premierleague25/badges/43.svg,Manchester City,38,27,5,6,102,37,65,86
2,https://resources.premierleague.com/premierleague25/badges/14.svg,Liverpool,38,26,6,6,101,50,51,84
3,https://resources.premierleague.com/premierleague25/badges/8.svg,Chelsea,38,25,7,6,71,27,44,82
4,https://resources.premierleague.com/premierleague25/badges/3.svg,Arsenal,38,24,7,7,68,41,27,79
5,https://resources.premierleague.com/premierleague25/badges/11.svg,Everton,38,21,9,8,61,39,22,72
6,https://resources.premierleague.com/premierleague25/badges/6.svg,Tottenham Hotspur,38,21,6,11,55,51,4,69
7,https://resources.premierleague.com/premierleague25/badges/1.svg,Manchester United,38,19,7,12,64,43,21,64
8,https://resources.premierleague.com/premierleague25/badges/20.svg,Southampton,38,15,11,12,54,46,8,56
9,https://resources.premierleague.com/premierleague25/badges/110.svg,Stoke City,38,13,11,14,45,52,-7,50
10,https://resources.premierleague.com/premierleague25/badges/4.svg,Newcastle United,38,15,4,19,43,59,-16,49
11,https://resources.premierleague.com/premierleague25/badges/31.svg,Crystal Palace,38,13,6,19,33,48,-15,45
12,https://resources.premierleague.com/premierleague25/badges/80.svg,Swansea City,38,11,9,18,54,54,0,42
13,https://resources.premierleague.com/premierleague25/badges/21.svg,West Ham United,38,11,7,20,40,51,-11,40
14,https://resources.premierleague.com/premierleague25/badges/56.svg,Sunderland,38,10,8,20,41,60,-19,38
15,https://resources.premierleague.com/premierleague25/badges/7.svg,Aston Villa,38,10,8,20,39,61,-22,38
16,https://resources.premierleague.com/premierleague25/badges/88.svg,Hull City,38,10,7,21,38,53,-15,37
17,https://resources.premierleague.com/premierleague25/badges/35.svg,West Bromwich Albion,38,7,15,16,43,59,-16,36
18,https://resources.premierleague.com/premierleague25/badges/45.svg,Norwich City,38,8,9,21,28,62,-34,33
19,https://resources.premierleague.com/premierleague25/badges/54.svg,Fulham,38,9,5,24,40,85,-45,32
20,https://resources.premierleague.com/premierleague25/badges/97.svg,Cardiff City,38,7,9,22,32,74,-42,30
