position,badge_url,name,games_played,games_won,games_drawn,games_lost,goals_for,goals_against,goal_difference,points
1,https://resources.premierleague.com/premierleague25/badges/1.svg,Manchester United,38,23,11,4,78,37,41,80
2,https://resources.premierleague.com/premierleague25/badges/8.svg,Chelsea,38,21,8,9,69,33,36,71
3,https://resources.premierleague.com/premierleague25/badges/43.svg,Manchester City,38,21,8,9,60,33,27,71
4,https://resources.premierleague.com/premierleague25/badges/3.svg,Arsenal,38,19,11,8,72,43,29,68
5,https://resources.premierleague.com/premierleague25/badges/6.svg,Tottenham Hotspur,38,16,14,8,55,46,9,62
6,https://resources.premierleague.com/premierleague25/badges/14.svg,Liverpool,38,17,7,14,59,44,15,58
7,https://resources.premierleague.com/premierleague25/badges/11.svg,Everton,38,13,15,10,51,45,6,54
8,https://resources.premierleague.com/premierleague25/badges/54.svg,Fulham,38,11,16,11,49,43,6,49
9,https://resources.premierleague.com/premierleague25/badges/7.svg,Aston Villa,38,12,12,14,48,59,-11,48
10,https://resources.premierleague.com/premierleague25/badges/56.svg,Sunderland,38,12,11,15,45,56,-11,47
11,https://resources.premierleague.com/premierleague25/badges/35.svg,West Bromwich Albion,38,12,11,15,56,71,-15,47
12,https://resources.premierleague.com/premierleague25/badges/4.svg,Newcastle United,38,11,13,14,56,57,-1,46
13,https://resources.premierleague.com/premierleague25/badges/110.svg,Stoke City,38,13,7,18,46,48,-2,46
14,https://resources.premierleague.com/premierleague25/badges/30.svg,Bolton Wanderers,38,12,10,16,52,56,-4,46
15,https://resources.premierleague.com/premierleague25/badges/5.svg,Blackburn Rovers,38,11,10,17,46,59,-13,43
16,https://resources.premierleague.com/premierleague25/badges/111.svg,Wigan Athletic,38,9,15,14,40,61,-21,42
17,https://resources.premierleague.com/premierleague25/badges/39.svg,Wolverhampton Wanderers,38,11,7,20,46,66,-20,40
18,https://resources.premierleague.com/premierleague25/badges/41.svg,Birmingham City,38,8,15,15,37,58,-21,39
19,https://resources.premierleague.com/premierleague25/badges/92.svg,Blackpool,38,10,9,19,55,78,-23,39
20,https://resources.premierleague.com/premierleague25/badges/21.svg,West Ham United,38,7,12,19,43,70,-27,33
